record_index,message_index,fragment_role,rule,source_file,range_start,range_end,has_test_case,test_files,test_kind,test_suite,test_command,test_run_status,line_total_in_range,line_covered_in_range,line_coverage_pct,branch_side_total_in_range,branch_side_covered_in_range,branch_coverage_pct,function_total_overlapping_range,function_covered_overlapping_range,function_coverage_pct,overlapping_coverage_functions,note,_source_csv
1,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/main/ets/views/AboutPage.ets,71,124,yes,agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/MemberCenterPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/FeedbackPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/LoginPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/Ability.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/RechargePage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/AboutPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/MemberAgreementPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/MyInfoCard.test.ets,instrument-test,book_personAllSuites,hvigorw.js --no-daemon ohosTest -p module=book_person -p coverage=true,passed,47,47,100.00,0,0,N/A,10,10,100.00,aboutCardView;anonymous_10;anonymous_11;anonymous_12;anonymous_13;anonymous_14;anonymous_15;anonymous_16;anonymous_17;anonymous_18,rerun passed: 10/10 tests,code-clone_coverage.csv
1,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/KidsTemplate/PostpartumCareCenter/scenes/activities/src/main/ets/view/ActivityBooking.ets,70,88,yes,agc-template-market-harmonyos-demos/KidsTemplate/PostpartumCareCenter/scenes/activities/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/KidsTemplate/PostpartumCareCenter/scenes/activities/src/ohosTest/ets/test/ActivityBooking.test.ets,instrument-test,ActivityBookingUiTest,hvigorw onDeviceTest -p module=activities -p coverage=true -p scope=ActivityBookingUiTest,passed,16,16,100.00,0,0,N/A,4,4,100.00,initialRender;anonymous_5;anonymous_8;anonymous_12,rerun passed: 1/1 tests,code-clone_coverage.csv
1,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/PhotographyTemplate/ImageProcessing/scenes/picture_beautification/src/main/ets/pages/PictureBeautification.ets,443,475,yes,agc-template-market-harmonyos-demos/PhotographyTemplate/ImageProcessing/scenes/picture_beautification/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/PhotographyTemplate/ImageProcessing/scenes/picture_beautification/src/ohosTest/ets/test/PictureBeautification.test.ets,instrument-test,PictureBeautificationTest,hvigorw.js --no-daemon test -p module=picture_beautification -p coverage=true -p scope=PictureBeautificationTest,passed,25,24,96.00,18,17,94.44,1,1,100.00,moveClipCanvasFreeType,rerun passed: 20/20 tests,code-clone_coverage.csv
1,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/src/main/ets/pages/mine/PersonalSetting.ets,71,91,yes,agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/src/ohosTest/ets/test/PersonalSetting.test.ets,instrument-test,PersonalSettingTest,hvigorw.js --no-daemon onDeviceTest -p module=entry -p coverage=true -p scope=PersonalSettingTest,passed_previous_run,18,16,88.89,0,0,N/A,9,8,88.89,initialRender;anonymous_11;anonymous_13;anonymous_14;anonymous_15;anonymous_16;anonymous_17;anonymous_18;anonymous_19,not rerun in this request; retained from previous successful rerun,code-clone_coverage.csv
1,1,original,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/main/ets/pages/EditNamePage.ets,18,70,yes,src/ohosTest/ets/test/EditNamePage.test.ets;src/ohosTest/ets/test/EditPhonePage.test.ets;src/ohosTest/ets/test/EditNamePageVM.test.ets;src/ohosTest/ets/test/EditPhonePageVM.test.ets;src/ohosTest/ets/test/EditPagesRender.test.ets,instrument-test,EditNamePageTest;EditPhonePageTest;EditNamePageVMTest;EditPhonePageVMTest;EditPagesRenderTest,DEVECO_SDK_HOME=/Applications/DevEco-Studio.app/Contents/sdk NODE_HOME=/Applications/DevEco-Studio.app/Contents/tools/node /Applications/DevEco-Studio.app/Contents/tools/node/bin/node /Applications/DevEco-Studio.app/Contents/tools/hvigor/bin/hvigorw.js --no-daemon onDeviceTest -p module=mine@ohosTest -p coverage=true,passed,38,36,94.74,2,2,100.00,11,10,90.91,initialRender;anonymous_3;anonymous_5;anonymous_6;anonymous_7;anonymous_8;anonymous_9;anonymous_10;anonymous_11;anonymous_13;anonymous_14,rerun passed: 40/40 tests,code-clone_coverage.csv
1,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/main/ets/views/AboutPage.ets,128,185,yes,agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/MemberCenterPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/FeedbackPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/LoginPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/Ability.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/RechargePage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/AboutPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/MemberAgreementPage.test.ets;agc-template-market-harmonyos-demos/BooksAndReferenceTemplate/BookRead/feature/book_person/src/ohosTest/ets/test/MyInfoCard.test.ets,instrument-test,book_personAllSuites,hvigorw.js --no-daemon ohosTest -p module=book_person -p coverage=true,passed,48,48,100.00,0,0,N/A,11,11,100.00,aboutCardView;anonymous_10;anonymous_20;anonymous_21;anonymous_22;anonymous_23;anonymous_24;anonymous_25;anonymous_26;anonymous_27;anonymous_28,rerun passed: 10/10 tests,code-clone_coverage.csv
1,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/KidsTemplate/PostpartumCareCenter/scenes/activities/src/main/ets/view/ActivityBooking.ets,118,136,yes,agc-template-market-harmonyos-demos/KidsTemplate/PostpartumCareCenter/scenes/activities/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/KidsTemplate/PostpartumCareCenter/scenes/activities/src/ohosTest/ets/test/ActivityBooking.test.ets,instrument-test,ActivityBookingUiTest,hvigorw onDeviceTest -p module=activities -p coverage=true -p scope=ActivityBookingUiTest,passed,15,15,100.00,0,0,N/A,5,5,100.00,initialRender;anonymous_5;anonymous_8;anonymous_15;anonymous_18,rerun passed: 1/1 tests,code-clone_coverage.csv
1,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/PhotographyTemplate/ImageProcessing/scenes/picture_beautification/src/main/ets/pages/PictureBeautification.ets,557,588,yes,agc-template-market-harmonyos-demos/PhotographyTemplate/ImageProcessing/scenes/picture_beautification/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/PhotographyTemplate/ImageProcessing/scenes/picture_beautification/src/ohosTest/ets/test/PictureBeautification.test.ets,instrument-test,PictureBeautificationTest,hvigorw.js --no-daemon test -p module=picture_beautification -p coverage=true -p scope=PictureBeautificationTest,passed,21,20,95.24,14,12,85.71,1,1,100.00,moveClipCanvasRatioType,rerun passed: 20/20 tests,code-clone_coverage.csv
1,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/src/main/ets/pages/mine/PersonalSetting.ets,93,113,yes,agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/src/ohosTest/ets/test/List.test.ets;agc-template-market-harmonyos-demos/CarsTemplate/DriverLicenseExam/products/entry/src/ohosTest/ets/test/PersonalSetting.test.ets,instrument-test,PersonalSettingTest,hvigorw.js --no-daemon onDeviceTest -p module=entry -p coverage=true -p scope=PersonalSettingTest,passed_previous_run,17,15,88.24,0,0,N/A,10,9,90.00,initialRender;anonymous_11;anonymous_13;anonymous_14;anonymous_15;anonymous_20;anonymous_21;anonymous_22;anonymous_23;anonymous_24,not rerun in this request; retained from previous successful rerun,code-clone_coverage.csv
1,1,similar,@extrulesproject/code-clone-fragment-check,agc-template-market-harmonyos-demos/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/main/ets/pages/EditPhonePage.ets,18,70,yes,src/ohosTest/ets/test/EditNamePage.test.ets;src/ohosTest/ets/test/EditPhonePage.test.ets;src/ohosTest/ets/test/EditNamePageVM.test.ets;src/ohosTest/ets/test/EditPhonePageVM.test.ets;src/ohosTest/ets/test/EditPagesRender.test.ets,instrument-test,EditNamePageTest;EditPhonePageTest;EditNamePageVMTest;EditPhonePageVMTest;EditPagesRenderTest,DEVECO_SDK_HOME=/Applications/DevEco-Studio.app/Contents/sdk NODE_HOME=/Applications/DevEco-Studio.app/Contents/tools/node /Applications/DevEco-Studio.app/Contents/tools/node/bin/node /Applications/DevEco-Studio.app/Contents/tools/hvigor/bin/hvigorw.js --no-daemon onDeviceTest -p module=mine@ohosTest -p coverage=true,passed,38,36,94.74,2,2,100.00,11,10,90.91,initialRender;anonymous_3;anonymous_5;anonymous_6;anonymous_7;anonymous_8;anonymous_9;anonymous_10;anonymous_11;anonymous_13;anonymous_14,rerun passed: 40/40 tests,code-clone_coverage.csv
